"State","Date","Confirmed","Deaths"
"Massachusetts","2021-07-23",715180,18046
"Michigan","2021-07-23",1006360,21146
"Minnesota","2021-07-23",609387,7743
"Mississippi","2021-07-23",333180,7502
"Missouri","2021-07-23",665483,9969
"Montana","2021-07-23",115255,1695
"Nebraska","2021-07-23",226839,2284
"Nevada","2021-07-23",349043,5817
"New Hampshire","2021-07-23",100152,1385
"New Jersey","2021-07-23",1032255,26568
"New Mexico","2021-07-23",208487,4397
"New York","2021-07-23",2133264,53591
"North Carolina","2021-07-23",1031929,13570
"North Dakota","2021-07-23",111170,1569
"Ohio","2021-07-23",1120922,20637
"Oklahoma","2021-07-23",471176,7454
"Oregon","2021-07-23",214869,2836
"Pennsylvania","2021-07-23",1223476,27820
"Rhode Island","2021-07-23",153447,2739
"South Carolina","2021-07-23",606833,9878
"South Dakota","2021-07-23",124960,2043
"Tennessee","2021-07-23",880789,12664
"Texas","2021-07-23",3070903,52982
"Utah","2021-07-23",426418,2425
"Vermont","2021-07-23",24676,259
"Virginia","2021-07-23",688300,11500
"Washington","2021-07-23",466099,6066
"West Virginia","2021-07-23",165702,2936
"Wisconsin","2021-07-23",682077,8240
"Wyoming","2021-07-23",64251,766
"Alabama","2021-07-24",569131,11483
"Alaska","2021-07-24",73818,384
"Arizona","2021-07-24",915660,18170
"Arkansas","2021-07-24",374328,6048
"California","2021-07-24",3960729,64231
"Colorado","2021-07-24",569289,6910
"Connecticut","2021-07-24",352037,8286
"Delaware","2021-07-24",110729,1698
"District of Columbia","2021-07-24",49973,1146
"Florida","2021-07-24",2523510,38670
"Georgia","2021-07-24",1157705,21614
"Hawaii","2021-07-24",40383,527
"Idaho","2021-07-24",198296,2183
"Illinois","2021-07-24",1407929,25834
"Indiana","2021-07-24",764448,13965
"Iowa","2021-07-24",376673,6170
"Kansas","2021-07-24",328185,5241
"Kentucky","2021-07-24",474444,7312
"Louisiana","2021-07-24",512843,10900
"Maine","2021-07-24",69905,897
"Maryland","2021-07-24",465643,9806
"Massachusetts","2021-07-24",715180,18046
"Michigan","2021-07-24",1006360,21146
"Minnesota","2021-07-24",609387,7743
"Mississippi","2021-07-24",333180,7502
"Missouri","2021-07-24",668721,9979
"Montana","2021-07-24",115255,1695
"Nebraska","2021-07-24",226839,2284
"Nevada","2021-07-24",349043,5817
"New Hampshire","2021-07-24",100152,1385
"New Jersey","2021-07-24",1033116,26573
"New Mexico","2021-07-24",208487,4397
"New York","2021-07-24",2135161,53594
"North Carolina","2021-07-24",1031929,13570
"North Dakota","2021-07-24",111215,1569
"Ohio","2021-07-24",1121609,20642
"Oklahoma","2021-07-24",471176,7454
"Oregon","2021-07-24",214869,2836
"Pennsylvania","2021-07-24",1224028,27823
"Rhode Island","2021-07-24",153447,2739
"South Carolina","2021-07-24",606833,9878
"South Dakota","2021-07-24",124960,2043
"Tennessee","2021-07-24",880789,12664
"Texas","2021-07-24",3076115,53006
"Utah","2021-07-24",426418,2425
"Vermont","2021-07-24",24676,259
"Virginia","2021-07-24",688300,11500
"Washington","2021-07-24",466235,6078
"West Virginia","2021-07-24",165702,2936
"Wisconsin","2021-07-24",682077,8240
"Wyoming","2021-07-24",64251,766
"Alabama","2021-07-25",570667,11483
"Alaska","2021-07-25",73818,384
"Arizona","2021-07-25",917168,18171
"Arkansas","2021-07-25",375350,6054
"California","2021-07-25",3974567,64235
"Colorado","2021-07-25",569289,6910
"Connecticut","2021-07-25",352037,8286
"Delaware","2021-07-25",110797,1698
"District of Columbia","2021-07-25",49973,1146
"Florida","2021-07-25",2523510,38670
"Georgia","2021-07-25",1157705,21614
"Hawaii","2021-07-25",40659,529
"Idaho","2021-07-25",198296,2183
"Illinois","2021-07-25",1407929,25834
"Indiana","2021-07-25",764448,13965
"Iowa","2021-07-25",376673,6170
"Kansas","2021-07-25",328185,5241
"Kentucky","2021-07-25",474444,7312
"Louisiana","2021-07-25",512843,10900
"Maine","2021-07-25",69905,897
"Maryland","2021-07-25",465949,9807
"Massachusetts","2021-07-25",715180,18046
"Michigan","2021-07-25",1006360,21146
"Minnesota","2021-07-25",609387,7743
"Mississippi","2021-07-25",333180,7502
"Missouri","2021-07-25",670252,9979
"Montana","2021-07-25",115255,1695
"Nebraska","2021-07-25",226839,2284
"Nevada","2021-07-25",349043,5817
"New Hampshire","2021-07-25",100152,1385
"New Jersey","2021-07-25",1033712,26575
"New Mexico","2021-07-25",208487,4397
"New York","2021-07-25",2136032,53603
"North Carolina","2021-07-25",1031929,13570
"North Dakota","2021-07-25",111227,1569
"Ohio","2021-07-25",1122104,20647
"Oklahoma","2021-07-25",471176,7454
"Oregon","2021-07-25",214869,2836
"Pennsylvania","2021-07-25",1224390,27827
"Rhode Island","2021-07-25",153447,2739
"South Carolina","2021-07-25",606833,9878
"South Dakota","2021-07-25",124960,2043
"Tennessee","2021-07-25",880789,12664
"Texas","2021-07-25",3077513,53018
"Utah","2021-07-25",426418,2425
"Vermont","2021-07-25",24676,259
"Virginia","2021-07-25",688300,11500
"Washington","2021-07-25",466235,6078
"West Virginia","2021-07-25",165702,2936
"Wisconsin","2021-07-25",682077,8240
"Wyoming","2021-07-25",64251,766
"Alabama","2021-07-26",572070,11483
"Alaska","2021-07-26",74383,384
"Arizona","2021-07-26",918609,18171
"Arkansas","2021-07-26",375971,6077
"California","2021-07-26",3983782,64267
"Colorado","2021-07-26",571087,6924
"Connecticut","2021-07-26",352626,8288
"Delaware","2021-07-26",110862,1698
"District of Columbia","2021-07-26",50160,1147
"Florida","2021-07-26",2523510,38670
"Georgia","2021-07-26",1163818,21628
"Hawaii","2021-07-26",40822,529
"Idaho","2021-07-26",198840,2188
"Illinois","2021-07-26",1411821,25842
"Indiana","2021-07-26",766351,13965
"Iowa","2021-07-26",376673,6170
"Kansas","2021-07-26",329683,5245
"Kentucky","2021-07-26",476650,7319
"Louisiana","2021-07-26",520435,10914
"Maine","2021-07-26",69905,897
"Maryland","2021-07-26",466205,9808
"Massachusetts","2021-07-26",716452,18053
"Michigan","2021-07-26",1006360,21146
"Minnesota","2021-07-26",609810,7746
"Mississippi","2021-07-26",336788,7508
"Missouri","2021-07-26",671390,9981
"Montana","2021-07-26",115406,1695
"Nebraska","2021-07-26",226839,2284
"Nevada","2021-07-26",351443,5837
"New Hampshire","2021-07-26",100286,1385
"New Jersey","2021-07-26",1034233,26579
"New Mexico","2021-07-26",209118,4400
"New York","2021-07-26",2138643,53610
"North Carolina","2021-07-26",1037373,13580
"North Dakota","2021-07-26",111265,1569
"Ohio","2021-07-26",1122647,20654
"Oklahoma","2021-07-26",474845,7454
"Oregon","2021-07-26",215853,2838
"Pennsylvania","2021-07-26",1225327,27827
"Rhode Island","2021-07-26",153697,2739
"South Carolina","2021-07-26",610477,9882
"South Dakota","2021-07-26",124960,2043
"Tennessee","2021-07-26",884417,12683
"Texas","2021-07-26",3083368,53037
"Utah","2021-07-26",428687,2434
"Vermont","2021-07-26",24748,259
"Virginia","2021-07-26",690183,11506
"Washington","2021-07-26",469308,6089
"West Virginia","2021-07-26",166108,2936
"Wisconsin","2021-07-26",683041,8253
"Wyoming","2021-07-26",64451,766
"Alabama","2021-07-27",574737,11492
"Alaska","2021-07-27",74383,384
"Arizona","2021-07-27",920084,18183
"Arkansas","2021-07-27",378023,6087
"California","2021-07-27",3991748,64292
"Colorado","2021-07-27",571958,6922
"Connecticut","2021-07-27",353114,8288
